Article Title,Link
Keep Our Servers Running,https://blog.archive.org/2026/09/01/keep-our-servers-running-your-recurring-donation-goes-3x-this-september/
Caltech Mathathon – first hackathon ever devoted to research level mathematics,https://mathathonchallenge.com/index.html
Live map of public transport in Belgium,https://openbaarvervoerbelgie.be/
Speculative Decoding in vLLM on AMD GPUs,https://vllm.ai/blog/2026-08-23-speculative-decoding-amd-gpus
Impedance Matching,https://www.edge.org/response-detail/27238
LG smart TVs caught logging audio with screen off and snooping on local devices,https://www.notebookcheck.net/LG-smart-TVs-caught-logging-audio-with-screen-off-and-snooping-on-local-devices.1391214.0.html
'You Can See Everything' Review: Nathan Fielder's Doc About Elizabeth Holmes,https://variety.com/2026/film/reviews/nathan-fielder-surprise-film-telluride-elizabeth-holmes-1236853513/
Making a Python interpreter in 1024 bytes,https://austinhenley.com/blog/python1024.html
Ask HN: How do you manage skills files?,item?id=49589914
Programming is Art,https://orchidfiles.com/programming-is-art/
It took a year to ship WebAssembly in Anubis,https://anubis.techaro.lol/blog/2026/anubis-wasm/
"Show HN: Engrim – A universal, local-first SQLite memory engine for AI CLIs",https://github.com/timgordontg/engrim
Show HN: GET Together – A social network where you don't need POST to Post,https://gettogether.dev
"Ask HN: Fable hacked my piano, can I release the results?",item?id=49577129
Switzerland's Federal Government Is Replacing Microsoft on 3k Computers,https://itsfoss.com/news/switzerland-replace-microssoft-pilot/
GrapheneOS Overhauled Default Apps and Secure Clipboard,https://grapheneos.social/@GrapheneOS/117225539756835649
Nitter and XCancel resume service after legal advice,https://github.com/zedeus/nitter/commit/1428b4c2b4246f92a7e5b2673438e5fb39fcc4a3
"Show HN: Think Turing Complete, but you write the circuits in TypeScript (WIP)",https://play.simten.dev
Is mathematics about to enter the conservatory?,https://mbmccoy.dev/posts/mathematical-conservatory/
Has anybody seen my keys? A key-hierarchy strategy for rack-level security,https://rfd.shared.oxide.computer/rfd/0301
